x,y,class
0.4961722681714855,0.47299183969853076,1
0.24992199119154906,0.30962692363654837,1
0.48335082077060976,0.18699395557631848,1
0.0974191651181327,0.14879058823447366,-1
0.2376002433557986,0.11082943418241464,-1
0.19142873499121088,0.12971619245377047,-1
0.2640774715953476,0.08242020277852674,-1
0.09851151994824692,0.24635020062051072,-1
0.2305055955928088,0.31819409164216483,1
0.045101927670586794,0.11049912570190334,-1
0.026679459887916923,0.2840235137501707,-1
0.24245486481246192,0.24610217442606563,-1
0.25065010108891217,0.2120807173267168,-1
0.3820926007284584,0.49401075056806076,1
0.4214225421088462,0.08989673900282918,1
0.3845591683412824,0.36947411097119687,1
0.3978034610910711,0.016058000715116205,-1
0.30897562506367177,0.34837525426445365,1
0.4467191368675303,0.4227152719676628,1
0.17907854577331228,0.39459522733670016,1
0.35305658927335054,0.2432037809322915,1
0.23897396170572183,0.389996414894438,1
0.023097426128510123,0.3709082012701557,-1
0.07289320198847093,0.34657100346503594,-1
0.2882948292830396,0.45301014338085605,1
0.2426136178092021,0.3606595162946354,1
0.06693749292416235,0.45956838870691386,1
0.28522461305365593,0.12066365690655978,-1
0.3944754774916887,0.4372130995647117,1
0.005294957964239788,0.12315996948818281,-1
0.18911389119921035,0.06678670759582128,-1
0.45629720811651825,0.2036719439908929,1
0.3597691109758264,0.38627318672812916,1
0.15828149177918882,0.2818744236823884,-1
0.01994682271050785,0.45684084139257286,-1
0.22100871140311312,0.0839914120832368,-1
0.03814146094642562,0.38243540430855216,-1
0.38217374624490486,0.07072278169785923,-1
0.2528093520655089,0.31651159486800845,1
0.15282714385806156,0.24925861461426285,-1
0.03183528426447618,0.0432691511999867,-1
0.18964399978161817,0.4886056036758611,1
0.2247334820925933,0.03066955533531951,-1
0.07965432942646189,0.46412823545421167,1
0.2515392429176078,0.3308508994483814,1
0.37213082815167936,0.438795821173482,1
0.289773031676018,0.49605308535227693,1
0.21260788909991973,0.114796204728766,-1
0.07604100308235051,0.08531012607957089,-1
0.1464951739830483,0.09352261547353369,-1
0.014330392821778393,0.27783595236180064,-1
0.24195912052353047,0.0682018829609084,-1
0.24209784647072335,0.21845532019688774,-1
0.085745761009546,0.16047542066106213,-1
0.22019380334012523,0.11084567659970934,-1
0.2598614243501702,0.18623462959468645,-1
0.27521551989642234,0.026898114284140295,-1
0.20241648642718896,0.17600768812021333,-1
0.484653888016477,0.18966817661229224,1
0.4196532439524598,0.07767905584823409,-1
0.10298051236462236,0.47242815603936605,1
0.20165630682620495,0.10210118807130192,-1
0.07183355334892655,0.19210568015983448,-1
0.480800621051418,0.4057594413088055,1
0.30055280286860947,0.3760720017878942,1
0.2265919562902921,0.46126385003827935,1
0.4254942472821763,0.25153130653914396,1
0.26090644025245163,0.34146314346865975,1
0.42670321821601737,0.39932526800214,1
0.33480057999236223,0.051922675304937604,-1
0.4146129589417455,0.15390062337274307,1
0.12995988348226567,0.3034930495289726,-1
0.34061744003328587,0.377151050877783,1
0.2680168302185748,0.22511370887334853,-1
0.05167061794978872,0.01318621338767817,-1
0.19760311160404492,0.006927302234710386,-1
0.36304721278294466,0.4246339438107002,1
0.3030008545334044,0.44294253025655544,1
0.28488896848826667,0.4819781410845715,1
0.13283314323542134,0.23792764410528494,-1
0.2700585238233368,0.08842066178238417,-1
0.32369985845144433,0.06538970600086486,-1
0.4980059140239885,0.329314900159266,1
0.005517281045546163,0.4953181847154717,1
0.39600391016060127,0.1946460596386243,1
0.1558469047593682,0.28465494001356273,-1
0.4030973474831576,0.3149305042312395,1
0.24699285401750948,0.10554091837124507,-1
0.24523829960782745,0.4440759635064612,1
0.21890192081517812,0.2498819541526935,-1
0.1598599368233976,0.46222580047425976,1
0.13008513324976234,0.3794246645544992,1
0.15627536783964668,0.4293121580079883,1
0.26610646050556647,0.4662866304171098,1
0.17821317070933335,0.2838716186806629,-1
0.37015249593660554,0.4230529719135739,1
0.07919456638143363,0.1674506341039011,-1
0.05131670192600285,0.32187503646399757,-1
0.3222228036382194,0.002743439786803803,-1
0.268606394810231,0.03985434720252651,-1
